,content,time
285,我想认真生活的时候，突然冒出来一个男孩陪我聊天，打语音，屁大点事都要跟我分享，我觉得我有点喜欢他了，就把他删了。,1609083849794
286,有时候说 对不起 也不一定是做错了什么 ,1609083829304
287,我和你走过了一生，很平凡的一生。哦，我醒来了，嘿，这一生我就试试换个人咯，嘿，你有酒嘛，醒不来的那种呢，是活着，不是死呢，呀，听，那是海的声音还是鲸的哭泣啊，能听到我说话吗，喂,1609083757412
288,正是因为有了大雾，我才敢对你ljy说出那三个字...,1609083742087
289,我不怪你 我怪大雾四起,1609083456665
290,我等你,1609083409334
291,在故事开始的时候我就已经做好退路了，希望这条退路永远用不到。,1609083352812
292,你站在我的位置 你就会知道我的感受 你就会知道我有多委屈 你就会知道我听着别人的建议还是义无反顾的选择你,1609083272580
293,"大雾四起 偷偷藏匿，我在无人处爱你，
大雾散去 人尽皆知我爱你。
大雾四起 看不见你，却能找到你眼睛。
大雾散去 我在人群中爱你。",1609083162210
294,大家都是成年人了，有个人召之即来挥之即去有多快乐我不知道么？那些进退话术和套路我不懂我不会吗？可是真的遇到那个人的时候情愿就不懂得掩饰对他的喜欢，我明知道这样可能会被拿捏，但人生中又能有几次机会遇上这种你想要冲上去白给的人呢？ ​​​,1609083052300
295,愿化作一缕清风 伴你一路又一路,1609083029979
296,以前喜欢谁 他不理我 我就使劲烦他 好像有用不完的热情 现在不行了 你认为我不重要 那就算了吧  难熬也要熬 意难平也得平啊,1609082891176
297,我在无人处爱你,1609082868324
298,实在太难熬了,1609082792862
299,谁都希望是双向奔赴,1609082755202
300,冷暴力真的很难受,1609082692163
301,这个是用钢琴弹的吗？我想为了这首歌学钢琴然后在毕业典礼上为我喜欢的人弹🙏🏻,1609082674515
302,是啊。,1609082663539
303,平平安安即可，其它的并不重要。,1609082618597
304,又没,1609082591940
305,我会在大雾中爱你,1609082364833
306,我们都会和自己心爱的女孩子一直在一起的,1609082293550
307,"春天要来了  冬天的事就放下吧

怎么可能放的下……",1609081985763
308,住进过心里的人，没办法不想她阿,1609081979523
309,我在很平常的一天放弃了一个很重要的人，虽然有点舍不得 但我的满心欢喜也该告一段落了,1609081950656
310,以前有个人告诉我爱不分性别。希望你们好好的。幸福很久,1609081916341
311,他还是离开我了,1609081775365
312,当时我麻木了，我很冷静，没什么过多的纠缠，我们分开了，整整五百天，我到现在也没想明白，为什么他就离开我了，明明当初对我事事有回应，满满都是在乎，我也没逼他什么，我也没给他压力阿，明明当时我都说那么清楚了，我们一起赌一把，反正现在还年轻，我也不是那种怕的人，他还是说了分开,1609081768226
313,“那天早上雾散了 不只早上 不只雾”,1609081689959
314,讨厌现在的自己[心碎],1609081643524
315,花光所有力气，在大雾中爱你,1609081530377
316,但是又有谁懂我呢,1609081476002
317,然后阿，他就放弃了，他说你也有你的压力，我也有我的努力，答应你的事我还是没有做到，对不起，我们分开吧！,1609081471358
318,我也不想天天听这种歌,1609081467108
319,我好想你。真的好想你。你回来吧这次我只成为微信里的一位好友不动情,1609081463489
320,我们说到以后，我询问他想过到我这里来嘛，他说没想过，他也问我愿意去他那里吗，我说说实话是不愿意的，我不知道我要多大的勇气能放弃我的一切去一个陌生的城市，然后我说但是没关系，我们现在年轻，别想那么多，问题来的时候再解决，我们赌一次，你愿意吗，,1609081454946
321,会好起来的,1609081450179
322,真的好难受啊,1609081445426
323,他越来越忙，我每天上班，经验不足整天忙得头昏，我感到不一样了，我开始焦躁，我拉着他不依不饶的问他，他宽慰我，安慰我，抚平我的焦躁说没什么，放心，我一直都在，但是这次不一样，我的焦躁并没有减少，后来10月12号凌晨我们聊了很久，我当时已经感觉到，他要离开我了，,1609081433416
324,杜翱羽 你在哪里呢？,1609081417502
325,这次异地和以前没什么区别，只是更想彼此了，不想再异地，他感受到了，所以每天都在努力上班，后来又到了一个国庆，我们这次没有见面，因为他走不开，我也不走那么远，就说找中间地方一起去玩，没商量好，这个国庆那儿也没去，结果国庆之后我就感觉我们之间不一样了，我说不出来哪里不一样，,1609081410482
326,希望吧,1609081407585
327,“也没有什么热衷的东西.感觉追不上就悄悄走开了。”,1609081396942
328,我没有DR钻戒 只能把头发编给你 只给你 或许这和DR钻戒也是一个概念吧 如果我们有结果 以后就拿一枚DR钻戒向我求婚吧。,1609081367513
329,把头发编起来给你 是希望你平安开心 不为别的 就偶尔迷信一下,1609081195692
330,摸,1609081177634
331,“大雾终将散去，爱意终会明朗”,1609081045222
332,ysh？！,1609080849913
333,我在你看不到的地方偷偷爱你,1609080808446
334,暗恋真的小心翼翼，连吃醋的资格都没有,1609080731393
335,"“大雾四起,我在无人处爱你，大雾散去,我在人群中爱你”我在你看不到的地方偷偷关注着你,我希望你知道,又害怕你知道",1609080728473
336,回去之后，我继续玩，然后他在做菜，我去帮他削了土豆，然后他叫我进房间，外面油烟大，做了两个菜，一个西红柿炒蛋，一个土豆丝，我吃的好饱，他却还叫我多吃点，然后碗都没洗我们就出门了，因为我要赶火车……之后的生活又回到了异地，,1609080585236
337,然后走的时候他把饭焖好，把水烧好，空调调好，吃的喝的全都拿到房间，什么都做好才出门上班，我在屋里睡觉等他回来，然后他打电话给我叫我下楼，他先骑着哈啰带我去买火车上吃的东西，然后我们一起逛菜市场，他让我在菜市场门口等他，说里面挤，我就要进去，我看着他买菜的背影，当时就觉得很满足，,1609080559540
338,可能他感觉到了，这次我毕业回家我们会很久都不能见面了，他抱着我说，你以后会不会离开我，我当时说未来的事情谁都说不清楚……之后我们在长沙去玩了几天，因为他之前在长沙做事，所以租了一个房子，我要走的那天，他要请假不上班陪我，我不同意，我叫他去上班，,1609080533971
339,@网抑云zzzz ,1609080517349
340,他是那种对我事事有回应，满满的对我都是在乎，让我感觉被宠爱，他有时候是小奶狗有时候是小狼狗，也会撒娇让我多在乎他一点，时间越来越久，我有恃无恐的，我觉得他不会离开我的就算我们异地，我也很安心，因为是他给我的安全感，毕业我没有直接回家，我拖了小行李箱就去了长沙，我们又见面了，,1609080496271
341,但是当时我疫情返校处理班上的事情，所以就没去，一直到毕业，我小做作的跟他讲我就毕业了好快呀，不想毕业，他跟我说你没毕业，在我这里你一直都没毕业。,1609080466713
342,"大雾四起 我在无人处爱你
大雾散尽 我爱你人尽皆知
云雾散尽 我爱你从未停息
云雾缥渺 世人皆知我爱你
大雾四起遮住了 我对你的爱意",1609080397919
343,结果碰上了疫情，异地时间又延长了四五个月，后来他姐夫带他去长沙做事，我得到复学通知之后马不停蹄的赶回学校，结果学校封闭式，我不能出去，后来有一个机会，和我大学同学准备一起去长沙看王一博，我做了这辈子最疯狂的事，翻墙出校门，结果我大学同学前晚上喝醉了，她叫我要不自己去长沙，但是当时,1609080386697
